456,CEN 105445,1A883SZ2Q,2010-01-01,Disponível,5,2019-01-01,2019-01-01
457,CEN 105450,1A883SB1L,2010-01-01,Disponível,5,2019-01-01,2019-01-01
458,CEN 105454,1A883S15B,2010-01-01,Disponível,5,2019-01-01,2019-01-01
459,CEN 105465,1A883SR22,2010-01-01,Disponível,5,2019-01-01,2019-01-01
460,CEN 105466,1A883T17S,2010-01-01,Disponível,5,2019-01-01,2019-01-01
461,CEN 105467,1A883SW1C,2010-01-01,Disponível,5,2019-01-01,2019-01-01
462,CEN 105468,1A883TK1J,2010-01-01,Disponível,5,2019-01-01,2019-01-01
463,CEN 105471,1A883SS94,2010-01-01,Disponível,5,2019-01-01,2019-01-01
464,CEN 105475,1A883S56S,2010-01-01,Disponível,5,2019-01-01,2019-01-01
465,CEN 105478,1A883S058,2010-01-01,Disponível,5,2019-01-01,2019-01-01
466,CEN 105487,1A883T035,2010-01-01,Disponível,5,2019-01-01,2019-01-01
467,CEN 105503,1A883S88B,2010-01-01,Disponível,5,2019-01-01,2019-01-01
468,CEN 105513,1A883S773,2010-01-01,Disponível,5,2019-01-01,2019-01-01
469,CEN 105521,1A883RZ3O,2010-01-01,Disponível,5,2019-01-01,2019-01-01
470,CEN 105530,1A883S07I,2010-01-01,Disponível,5,2019-01-01,2019-01-01
471,CEN 105535,1A883S92K,2010-01-01,Disponível,5,2019-01-01,2019-01-01
472,CEN 105565,1A889KD8O,2010-01-01,Disponível,5,2019-01-01,2019-01-01
473,CEN 105568,1A889KL5X,2010-01-01,Disponível,5,2019-01-01,2019-01-01
474,CEN 105597,1A883T280,2010-01-01,Disponível,5,2019-01-01,2019-01-01
475,CEN 105287,1A889LD4B,2010-01-01,Disponível,5,2019-01-01,2019-01-01
476,CEN 105310,1A889LB0L,2010-01-01,Disponível,5,2019-01-01,2019-01-01
477,CEN 105274,1A883S84R,2010-01-01,Disponível,5,2019-01-01,2019-01-01
478,CEN 105276,1A889LF27,2010-01-01,Disponível,5,2019-01-01,2019-01-01
479,CEN 105279,1A889KP9T,2010-01-01,Disponível,5,2019-01-01,2019-01-01
480,CEN 105281,1A889K84P,2010-01-01,Disponível,5,2019-01-01,2019-01-01
481,CEN 105283,1A889KD1P,2010-01-01,Disponível,5,2019-01-01,2019-01-01
482,CEN 105284,1A889LD90,2010-01-01,Disponível,5,2019-01-01,2019-01-01
483,CEN 105285,1A889LK0C,2010-01-01,Disponível,5,2019-01-01,2019-01-01
484,CEN 105286,1A889K39Z,2010-01-01,Disponível,5,2019-01-01,2019-01-01
485,CEN 105288,1A889L660,2010-01-01,Disponível,5,2019-01-01,2019-01-01
486,CEN 105290,1A889KX3N,2010-01-01,Disponível,5,2019-01-01,2019-01-01
487,CEN 105291,1A889KH95,2010-01-01,Disponível,5,2019-01-01,2019-01-01
488,CEN 105293,1A889LM0I,2010-01-01,Disponível,5,2019-01-01,2019-01-01
489,CEN 105295,1A891G34Y,2010-01-01,Disponível,5,2019-01-01,2019-01-01
490,CEN 105297,1A891G62X,2010-01-01,Disponível,5,2019-01-01,2019-01-01
491,CEN 105300,1A891HG7N,2010-01-01,Disponível,5,2019-01-01,2019-01-01
492,CEN 105301,1A891HG8S,2010-01-01,Disponível,5,2019-01-01,2019-01-01
493,CEN 105303,1A891HG2Y,2010-01-01,Disponível,5,2019-01-01,2019-01-01
494,CEN 105304,1A891HF8P,2010-01-01,Disponível,5,2019-01-01,2019-01-01
495,CEN 105305,1A889L27T,2010-01-01,Disponível,5,2019-01-01,2019-01-01
496,CEN 105306,1A889L24E,2010-01-01,Disponível,5,2019-01-01,2019-01-01
497,CEN 105307,1A889L121 ,2010-01-01,Disponível,5,2019-01-01,2019-01-01
498,CEN 105309,1A889L06I,2010-01-01,Disponível,5,2019-01-01,2019-01-01
499,CEN 105312,1A889L45P,2010-01-01,Disponível,5,2019-01-01,2019-01-01
500,CEN 105314,1A889KR35,2010-01-01,Disponível,5,2019-01-01,2019-01-01
501,CEN 105315,1A883X53C,2010-01-01,Disponível,5,2019-01-01,2019-01-01
502,CEN 105316,1A883XH4H,2010-01-01,Disponível,5,2019-01-01,2019-01-01
503,CEN 105317,1A883WZ77,2010-01-01,Disponível,5,2019-01-01,2019-01-01
504,CEN 105318,1A883XK75,2010-01-01,Disponível,5,2019-01-01,2019-01-01
505,CEN 105320,1A883XK9F,2010-01-01,Disponível,5,2019-01-01,2019-01-01
506,CEN 105321,1A883XL09,2010-01-01,Disponível,5,2019-01-01,2019-01-01
507,CEN 105322,1A883WZ9H,2010-01-01,Disponível,5,2019-01-01,2019-01-01
508,CEN 105323,1A883X527,2010-01-01,Disponível,5,2019-01-01,2019-01-01
509,CEN 105325,1A889L293,2010-01-01,Disponível,5,2019-01-01,2019-01-01
510,CEN 105327,1A889L25J,2010-01-01,Disponível,5,2019-01-01,2019-01-01
511,CEN 105331,1A889KC0H,2010-01-01,Disponível,5,2019-01-01,2019-01-01
512,CEN 105333,1A889L46U,2010-01-01,Disponível,5,2019-01-01,2019-01-01
513,CEN 105334,1A889LD1W,2010-01-01,Disponível,5,2019-01-01,2019-01-01
514,CEN 105335,1A889CD2A,2010-01-01,Disponível,5,2019-01-01,2019-01-01
515,CEN 105337,1A889BC0Q,2010-01-01,Disponível,5,2019-01-01,2019-01-01
516,CEN 105340,1A889C23I,2010-01-01,Disponível,5,2019-01-01,2019-01-01
517,CEN 105341,1A889BB9W,2010-01-01,Disponível,5,2019-01-01,2019-01-01
518,CEN 105342,1A889K07G,2010-01-01,Disponível,5,2019-01-01,2019-01-01
519,CEN 105343,1A889LG4K,2010-01-01,Disponível,5,2019-01-01,2019-01-01
520,CEN 105345,1A889LF0X,2010-01-01,Disponível,5,2019-01-01,2019-01-01
521,CEN 105351,1A889LL2P,2010-01-01,Disponível,5,2019-01-01,2019-01-01
522,CEN 105354,1A889C184,2010-01-01,Disponível,5,2019-01-01,2019-01-01
523,CEN 105356,1A889BN8R,2010-01-01,Disponível,5,2019-01-01,2019-01-01
524,CEN 105360,1A889BN9W,2010-01-01,Disponível,5,2019-01-01,2019-01-01
525,CEN 105362,1A889KK6Z,2010-01-01,Disponível,5,2019-01-01,2019-01-01
526,CEN 105363,1A889KM7A,2010-01-01,Disponível,5,2019-01-01,2019-01-01
527,CEN 105365,1A889K12U,2010-01-01,Disponível,5,2019-01-01,2019-01-01
528,CEN 105366,1A889L21Z,2010-01-01,Disponível,5,2019-01-01,2019-01-01
529,CEN 105367,1A889KL2I,2010-01-01,Disponível,5,2019-01-01,2019-01-01
530,CEN 105368,1A889L47Z,2010-01-01,Disponível,5,2019-01-01,2019-01-01
531,CEN 105370,1A889LC33,2010-01-01,Disponível,5,2019-01-01,2019-01-01
532,CEN 105371,1A889K47S,2010-01-01,Disponível,5,2019-01-01,2019-01-01
533,CEN 105374,1A889BF83,2010-01-01,Disponível,5,2019-01-01,2019-01-01
534,CEN 105376,1A889C360,2010-01-01,Disponível,5,2019-01-01,2019-01-01
535,CEN 105379,1A8899V7W,2010-01-01,Disponível,5,2019-01-01,2019-01-01
536,CEN 105380,1A889B07P,2010-01-01,Disponível,5,2019-01-01,2019-01-01
537,CEN 105381,1A889C845,2010-01-01,Disponível,5,2019-01-01,2019-01-01
538,CEN 105386,1A889K159,2010-01-01,Disponível,5,2019-01-01,2019-01-01
539,CEN 105388,1A889LC1T,2010-01-01,Disponível,5,2019-01-01,2019-01-01
540,CEN 105390,1A889KN68,2010-01-01,Disponível,5,2019-01-01,2019-01-01
541,CEN 105391,1A889L778,2010-01-01,Disponível,5,2019-01-01,2019-01-01
542,CEN 105393,1A889LJ4T,2010-01-01,Disponível,5,2019-01-01,2019-01-01
543,CEN 105394,1A889L54N,2010-01-01,Disponível,5,2019-01-01,2019-01-01
544,CEN 105395,1A889L73O,2010-01-01,Disponível,5,2019-01-01,2019-01-01
545,CEN 105396,1A889L59C,2010-01-01,Disponível,5,2019-01-01,2019-01-01
546,CEN 105397,1A889L75Y,2010-01-01,Disponível,5,2019-01-01,2019-01-01
547,CEN 105398,1A889K36K,2010-01-01,Disponível,5,2019-01-01,2019-01-01
548,CEN 105401,1A889K580,2010-01-01,Disponível,5,2019-01-01,2019-01-01
549,CEN 105404,1A889L10R,2010-01-01,Disponível,5,2019-01-01,2019-01-01
550,CEN 105405,1A889KH0W,2010-01-01,Disponível,5,2019-01-01,2019-01-01
551,CEN 105407,1A889K320,2010-01-01,Disponível,5,2019-01-01,2019-01-01
552,CEN 105409,1A889K889,2010-01-01,Disponível,5,2019-01-01,2019-01-01
553,CEN 105411,1A889LF5M,2010-01-01,Disponível,5,2019-01-01,2019-01-01
554,CEN 105412,1A883ZD6T,2010-01-01,Disponível,5,2019-01-01,2019-01-01
555,CEN 105415,1A883YN8Q,2010-01-01,Disponível,5,2019-01-01,2019-01-01
556,CEN 105416,1A883Z41D,2010-01-01,Disponível,5,2019-01-01,2019-01-01
557,CEN 105417,1A884004Q,2010-01-01,Disponível,5,2019-01-01,2019-01-01
558,CEN 105420,1A883YN9V,2010-01-01,Disponível,5,2019-01-01,2019-01-01
559,CEN 105421,1A883ZY1V,2010-01-01,Disponível,5,2019-01-01,2019-01-01
560,CEN 105422,1A883X10L,2010-01-01,Disponível,5,2019-01-01,2019-01-01
561,CEN 105426,1A883X12V,2010-01-01,Disponível,5,2019-01-01,2019-01-01
562,CEN 105427,1A883WX2C,2010-01-01,Disponível,5,2019-01-01,2019-01-01
563,CEN 105429,1A883WW5O,2010-01-01,Disponível,5,2019-01-01,2019-01-01
564,CEN 105433,1A883SJ3J,2010-01-01,Disponível,5,2019-01-01,2019-01-01
565,CEN 105434,1A883SP31,2010-01-01,Disponível,5,2019-01-01,2019-01-01
566,CEN 105438,1A883SQ7O,2010-01-01,Disponível,5,2019-01-01,2019-01-01
567,CEN 105439,1A883SX0A,2010-01-01,Disponível,5,2019-01-01,2019-01-01
568,CEN 105441,1A883ST13,2010-01-01,Disponível,5,2019-01-01,2019-01-01
569,CEN 105442,1A883S94U,2010-01-01,Disponível,5,2019-01-01,2019-01-01
570,CEN 105444,1A883T07P,2010-01-01,Disponível,5,2019-01-01,2019-01-01
571,CEN 105447,1A883T09Z,2010-01-01,Disponível,5,2019-01-01,2019-01-01
572,CEN 105451,1A883TH2F,2010-01-01,Disponível,5,2019-01-01,2019-01-01
573,CEN 105452,1A883S17L,2010-01-01,Disponível,5,2019-01-01,2019-01-01
